,type,level,price,hands required,system,category,damage,damage type,range,critical effect,critical damage,capacity,usage,ammo type,power type,bulk,special,source,area,eac bonus,kac bonus,max dex bonus,armor check penalty,speed adjustment,armor slots,weapon slots,upgrade slots,shield bonus,aligned shield bonus,speed,max speed,str,cover,hp,hardness,passengers
"cathode cannon, advanced",Heavy,8,9300,2,-,Shock,2d12,E,60,-,-,40,4,Battery charge,-,2,"Unwieldy, wide line",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cathode cannon, elite",Heavy,12,35300,2,-,Shock,3d12,E,60,-,-,40,4,Battery charge,-,2,"Unwieldy, wide line",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cathode cannon, paragon",Heavy,15,109000,2,-,Shock,6d12,E,100,-,-,40,4,Battery charge,-,2,"Unwieldy, wide line",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cathode cannon, shockstorm",Heavy,18,647000,2,-,Shock,7d12,E,120,-,-,80,4,Battery charge,-,2,"Unwieldy, wide line",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cathode cannon, tactical",Heavy,4,2040,2,-,Shock,1d10,E,40,-,-,40,4,Battery charge,-,2,"Unwieldy, wide line",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"caustolance, decimator",Longarms,6,4500,2,-,Disintegrator,2d6,A,60,Injection DC +2,-,20,1,Battery charge,-,1,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"caustolance, eradicator",Longarms,18,400000,2,-,Disintegrator,12d6,A,60,Injection DC +2,-,20,1,Battery charge,-,1,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"caustolance, executioner",Longarms,12,38000,2,-,Disintegrator,5d6,A,60,Injection DC +2,-,20,1,Battery charge,-,1,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"caustolance, liquidator",Longarms,1,400,2,-,Disintegrator,1d6,A,60,Injection DC +2,-,20,1,Battery charge,-,1,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"caustroject, decimator",Small Arms,6,4000,1,-,Disintegrator,1d8,A,30,Injection DC +2,-,20,2,Battery charge,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"caustroject, eradicator",Small Arms,18,242300,1,-,Disintegrator,6d8,A,30,Injection DC +2,-,20,2,Battery charge,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"caustroject, executioner",Small Arms,12,32900,1,-,Disintegrator,4d4,A,30,Injection DC +2,-,20,2,Battery charge,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"caustroject, liquidator",Small Arms,1,225,1,-,Disintegrator,1d4,A,30,Injection DC +2,-,20,2,Battery charge,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cavitation pistol, hydrodynamic",Small Arms,14,75200,1,-,Plasma,2d12,E & F,40,Pulse,2d6,40,8,Battery charge,-,L,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cavitation pistol, inertial",Small Arms,8,9700,1,-,Plasma,2d6,E & F,20,Pulse,1d6,40,5,Battery charge,-,L,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cavitation pistol, thermodynamic",Small Arms,18,584000,1,-,Plasma,3d12,E & F,20,Pulse,3d6,80,10,Battery charge,-,L,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cavitation psitol, vapor",Small Arms,3,1430,1,-,Plasma,1d6,E & F,20,Pulse,1d4,20,4,Battery charge,-,L,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cestus pistol, advanced",Small Arms,6,4170,1,-,Projectile,1d12,P,Reach,Bleed,1d4,1,1,Rounds,-,-,"Conceal, punch gun",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cestus pistol, elite",Small Arms,11,24000,1,-,Projectile,3d12,P,Reach,Bleed,1d6,1,1,Rounds,-,-,"Conceal, punch gun",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cestus pistol, paragon",Small Arms,16,162000,1,-,Projectile,6d12,P,Reach,Bleed,1d8,1,1,Rounds,-,-,"Conceal, punch gun",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cestus pistol, tactical",Small Arms,1,250,1,-,Projectile,1d4,P,Reach,-,-,1,1,Rounds,-,-,"Conceal, punch gun",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"charge emitter, impulse",Longarms,8,10900,2,-,Shock,3d4,E,20,Staggered,-,20,2,Battery charge,-,1,"Integrated (1 slot), stun",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"chitin blade, microserrated",Basic Melee,9,12400,2,-,Uncategorized,4d4,S,-,Bleed,2d4,-,-,-,-,1,Analog,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"chitinblade, nanoserrated",Basic Melee,13,46400,2,-,Uncategorized,4d8,S,-,Bleed,2d8,-,-,-,-,1,Analog,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"chitinblade, tactical",Basic Melee,4,1890,2,-,Uncategorized,1d6,S,-,Bleed,1d6,-,-,-,-,1,Analog,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"chitinblade, ultraserrated",Basic Melee,17,219000,2,-,Uncategorized,8d8,S,-,Bleed,3d8,-,-,-,-,1,Analog,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cinder rifle, glorysequence",Longarms,15,102200,2,-,Projectile,6d8,P,80,Burn,2d6,24,1,Rounds,-,2,-,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cinder rifle, savlationsequence",Longarms,7,6000,2,-,Projectile,2d8,P,60,Burn,1d6,14,1,Rounds,-,2,-,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cinder rifle, truthsequence",Longarms,2,700,2,-,Projectile,1d8,P,60,Burn,1d6,10,1,Rounds,-,2,-,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cinder rifle, valorsequence",Longarms,11,23700,2,-,Projectile,3d8,P,80,Burn,2d6,20,1,Rounds,-,2,-,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
club,Basic Melee,0,0,1,-,Uncategorized,1d6,B,-,-,-,-,-,-,-,L,"Analog, archaic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cluster launcher, advanced",Heavy,12,35800,2,-,Uncategorized,-,-,70,-,-,10,1,Grenades,-,3,Cluster (10 ft.),AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cluster launcher, elite",Heavy,15,105000,2,-,Uncategorized,-,-,80,-,-,12,1,Grenades,-,3,Cluster (10 ft.),AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cluster launcher, paragon",Heavy,18,360000,2,-,Uncategorized,-,-,100,-,-,16,1,Grenades,-,3,Cluster (15 ft.),AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cluster launcher, tactical",Heavy,6,4150,2,-,Uncategorized,-,-,60,-,-,8,1,Grenades,-,2,Cluster (5 ft.),AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"coil rifle, assassin",Sniper,19,590000,2,-,Projectile,12d6,P,90,Bleed,4d6,16,1,Rounds,-,2,Sniper (750 ft.),AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"coil rifle, precision",Sniper,1,390,2,-,Projectile,1d6,P,60,-,-,4,1,Rounds,-,2,Sniper (250 ft.),AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"coil rifle, rangefinder",Sniper,10,18600,2,-,Projectile,3d6,P,70,Bleed,2d6,8,1,Rounds,-,2,Sniper (500 ft.),AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"coil rifle, saboteur",Sniper,14,76700,2,-,Projectile,7d6,P,80,Bleed,3d6,12,1,Rounds,-,2,Sniper (750 ft.),AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"coil rifle, specialist",Sniper,5,3120,2,-,Projectile,2d6,P,70,Bleed,1d6,6,1,Rounds,-,2,Sniper (250 ft.),AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"colossus coil, brush",Heavy,9,13800,2,-,Shock,3d8,E,100,Arc,2d6,40,8,Battery charge,-,3,Boost 1d8,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"colossus coil, corona",Heavy,3,1450,2,-,Shock,1d8,E,80,Arc,1d6,20,4,Battery charge,-,3,Boost 1d8,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"colossus coil, multistream",Heavy,19,888000,2,-,Shock,10d8,E,120,Arc,4d6,80,10,Battery charge,-,3,Boost 3d8,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"colossus coil, streamer arc",Heavy,14,76400,2,-,Shock,5d8,E,100,Arc,3d6,40,8,Battery charge,-,3,Boost 2d8,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
combat rifle,Longarms,10,16500,2,-,Projectile,3d8,P,90,-,-,12,1,Rounds,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"compliance ray, flare",Small Arms,7,6400,1,-,Laser,2d4,F,60,Blind,-,20,1,Battery charge,-,L,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"compliance ray, flash",Small Arms,3,1400,1,-,Laser,1d6,F,60,Blind,-,20,1,Battery charge,-,L,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"compliance ray, starburst",Small Arms,15,"171,00",1,-,Laser,6d4,F,60,Blind,-,20,1,Battery charge,-,L,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"compliance ray, strobe",Small Arms,11,25100,1,-,Laser,4d4,F,60,Blind,-,20,1,Battery charge,-,L,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"compliance ray, sunspot",Small Arms,19,545000,1,-,Laser,9d4,F,80,Blind,-,20,1,Battery charge,-,L,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"conqueror, blue star",Heavy,13,52000,2,-,Laser,5d10,E & F,100,Wound,-,80,4,Battery charge,-,3,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"conqueror, red star",Heavy,1,430,2,-,Plasma,1d10,E & F,60,Wound,-,20,4,Battery charge,-,3,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"conqueror, violet star",Heavy,18,590000,2,-,Laser,10d10,E & F,100,Wound,-,80,8,Battery charge,-,3,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"conqueror, white star",Heavy,9,15200,2,-,Laser,3d12,E & F,80,Wound,-,40,4,Battery charge,-,3,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"conqueror, yellow star",Heavy,4,2400,2,-,Plasma,1d12,E & F,80,Wound,-,40,4,Battery charge,-,3,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"convergent laser, multiwave",Heavy,11,24500,2,-,Laser,4d10,F,120,Burn,3d6,40,4,Battery charge,-,2,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"convergent laser, singlewave",Heavy,4,2100,2,-,Laser,1d12,F,100,Burn,1d6,40,4,Battery charge,-,2,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"convergent laser, widespectrum",Heavy,15,118000,2,-,Laser,7d10,F,120,Burn,4d6,40,4,Battery charge,-,2,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"coolant sprayer, algid",Heavy,7,7400,2,-,Cryo,1d6,C,30,Staggered,-,40,4,Battery charge,-,3,"Blast, entangle (1d4 rounds), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"coolant sprayer, glacial",Heavy,12,41000,2,-,Cryo,2d6,C,40,Staggered,-,40,4,Battery charge,-,3,"Blast, entangle (2d4 rounds), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"coolant sprayer, hiemal",Heavy,3,1600,2,-,Cryo,1d4,C,20,Staggered,-,40,4,Battery charge,-,3,"Blast, entangle (1d4 rounds), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"coolant sprayer, isothermal",Heavy,17,290000,2,-,Cryo,3d6,C,40,Staggered,-,40,4,Battery charge,-,3,"Blast, entangle (2d4 rounds), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"core hammer, advanced",Advanced Melee,8,9150,2,-,Plasma,3d6,E & F,-,Jet,2d6,40,2,Battery charge,-,2,Powered,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"core hammer, fusion",Advanced Melee,13,48200,2,-,Plasma,6d6,E & F,-,Jet,4d6,40,5,Battery charge,-,2,Powered,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"core hammer, reactor",Advanced Melee,20,725000,2,-,Plasma,15d6,E & F,-,Jet,8d6,80,8,Battery charge,-,2,Powered,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"core hammer, tactical",Advanced Melee,3,1320,2,-,Plasma,1d6,E & F,-,Jet,1d6,40,2,Battery charge,-,2,Powered,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"crossbolter, advanced",Heavy,11,21900,2,-,Projectile,4d10,P,70,-,-,12,4,Arrows,-,2,Unwieldy,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"crossbolter, dual",Longarms,8,8250,2,-,Projectile,2d10,P,70,-,-,4,2,Arrows,-,2,Unwieldy,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"crossbolter, elite",Heavy,14,71400,2,-,Projectile,6d10,P,60,-,-,30,6,Arrows,-,2,Unwieldy,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"crossbolter, paragon",Heavy,18,327200,2,-,Projectile,10d10,P,60,-,-,40,8,Arrows,-,2,Unwieldy,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"crossbolter, tactical",Longarms,2,475,2,-,Projectile,1d10,P,70,-,-,1,1,Arrows,-,2,Unwieldy,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cryopike, advanced",Advanced Melee,12,34800,2,-,Cryo,2d8,C,-,Staggered,-,40,2,Battery charge,-,2,"Powered, reach",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cryopike, tactical",Advanced Melee,5,3360,2,-,Cryo,1d8,C,-,-,-,40,2,Battery charge,-,2,Powered,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cryospike, industrial",Advanced Melee,15,114000,1,-,Cryo,9d4,C,-,-,-,20,2,Battery charge,-,L,"Extinguish, integrated (2 slots), powered",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cryospike, personal",Advanced Melee,2,1100,1,-,Cryo,1d4,C,-,-,-,20,2,Battery charge,-,L,"Extinguish, integrated (2 slots), powered",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"cryospike, residential",Advanced Melee,9,13700,1,-,Cryo,3d4,C,-,-,-,20,2,Battery charge,-,L,"Extinguish, integrated (2 slots), powered",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"curve blade, buzzblade",Advanced Melee,16,184300,2,-,Uncategorized,8d10,S,-,Bleed,5d6,40,2,Battery charge,-,2,Powered,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"curve blade, carbon steel",Advanced Melee,4,2230,2,-,Uncategorized,1d10,S,-,Bleed,1d6,-,-,-,-,2,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"curve blade, dimensional slice",Advanced Melee,20,815000,2,-,Uncategorized,12d10,S,-,Bleed,6d6,40,2,Battery charge,-,2,Powered,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"curve blade, ultrathin",Advanced Melee,10,18100,2,-,Uncategorized,3d10,S,-,Bleed,2d6,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dagger, molecular rift",Basic Melee,17,275000,1,-,Uncategorized,10d4,S,-,-,-,-,-,-,-,L,"Analog, operative",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dagger, ultrathin",Basic Melee,12,32800,1,-,Uncategorized,4d4,S,-,-,-,-,-,-,-,L,"Analog, operative",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dagger, zeroedge",Basic Melee,14,64400,1,-,Uncategorized,6d4,S,-,-,-,-,-,-,-,L,"Analog, operative",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dart cannon, advanced",Heavy,11,22300,2,-,Projectile,3d12,P,150,Embed,1d10,50,10,Darts,-,2,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dart cannon, elite",Heavy,15,118000,2,-,Projectile,6d12,P,150,Embed,2d12,50,5,Darts,-,2,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dart cannon, heavy",Heavy,8,9650,2,-,Projectile,2d12,P,140,Embed,1d8,50,10,Darts,-,2,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dart cannon, light",Heavy,2,690,2,-,Projectile,1d8,P,120,Embed,1d6,50,10,Darts,-,2,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dart cannon, paragon",Heavy,19,584000,2,-,Projectile,9d12,P,1500,Embed,3d12,50,5,Darts,-,2,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dart cannon, tactical",Heavy,5,2800,2,-,Projectile,1d12,P,130,Embed,1d8,50,10,Darts,-,2,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dazzler, flash",Heavy,3,1420,2,-,Laser,1d10,F,120,Blind,-,20,2,Battery charge,-,2,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dazzler, strobe",Heavy,8,9420,2,-,Laser,2d12,F,150,Blind,-,20,2,Battery charge,-,2,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dazzler, sunspot",Heavy,14,71500,2,-,Laser,4d12,F,150,Blind,-,20,2,Battery charge,-,2,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"decoupler, bruiser",Small Arms,1,430,1,-,Disintegrator,1d4,A,20,Demoralize,-,20,2,Battery charge,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"decoupler, pusher",Small Arms,4,2300,1,-,Disintegrator,1d6,A,30,Demoralize,-,40,2,Battery charge,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"decoupler, screamer",Small Arms,8,10800,1,-,Disintegrator,1d10,A,30,Demoralize,-,40,2,Battery charge,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"desperation cannon, doomcaller",Heavy,10,18500,2,-,Plasma,3d12,E & F,100,Nuisance,-,100,10,Battery charge,-,2,"Bright, penetrating, unwieldy",NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"desperation cannon, ragebringer",Heavy,4,2250,2,-,Plasma,1d12,E & F,100,Nuisance,-,40,5,Battery charge,-,2,"Bright, penetrating, unwieldy",NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"desperation cannon, skypiercer",Heavy,15,119500,2,-,Plasma,6d12,E & F,100,Nuisance,-,100,10,Battery charge,-,2,"Bright, penetrating, unwieldy",NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"desperation cannon, titankiller",Heavy,19,565000,2,-,Plasma,9d12,E & F,100,Nuisance,-,100,20,Battery charge,-,2,"Bright, penetrating, unwieldy",NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"devastation blade, apocalypse",Advanced Melee,18,410200,2,-,Uncategorized,12d8,S,-,-,-,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"devastation blade, ruin",Advanced Melee,13,43900,2,-,Uncategorized,5d8,S,-,-,-,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"devastation blade, wrack",Advanced Melee,7,5500,2,-,Uncategorized,2d8,S,-,-,-,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"diasporan rifle, advanced",Sniper,5,3750,2,-,Laser,2d8,F,70,-,-,20,1,Battery charge,-,2,"Sniper (500), unwieldy",AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"diasporan rifle, elite",Sniper,10,17000,2,-,Laser,4d8,F,80,-,-,20,1,Battery charge,-,2,"Sniper (750), unwieldy",AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"diasporan rifle, imperial",Sniper,20,725000,2,-,Laser,10d8,F,80,-,-,30,1,Battery charge,-,2,"Sniper (1000), unwieldy",AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"diasporan rifle, tactical",Sniper,1,350,2,-,Laser,1d8,F,70,-,-,10,1,Battery charge,-,1,"Sniper (250), unwieldy",AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"diasporan rifle, ultra",Sniper,15,110000,2,-,Laser,6d8,F,80,-,-,30,1,Battery charge,-,2,"Sniper (1000), unwieldy",AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dirge cannon, anharmonic",Heavy,13,49900,2,-,Sonic,5d6,So,40,Deafen,-,80,4,Battery charge,-,3,"Antibiological, blast, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dirge cannon, harmonic",Heavy,2,900,2,-,Sonic,1d8,So,20,Deafen,-,20,4,Battery charge,-,3,"Antibiological, blast, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dirge cannon, parametric",Heavy,16,172000,2,-,Sonic,7d6,So,50,Deafen,-,80,4,Battery charge,-,3,"Antibiological, blast, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dirge cannon, resonant",Heavy,7,4270,2,-,Sonic,2d6,So,30,Deafen,-,40,4,Battery charge,-,3,"Antibiological, blast, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dirge pistol, anharmonic",Small Arms,10,20500,1,-,Sonic,3d4,So,40,Sicken,-,20,1,Battery charge,-,L,Antibiological,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dirge pistol, harmonic",Small Arms,1,440,1,-,Sonic,1d3,So,20,Sicken,-,20,1,Battery charge,-,L,Antibiological,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dirge pistol, parametric",Small Arms,15,133000,1,-,Sonic,6d4,So,60,Sicken,-,20,1,Battery charge,-,L,Antibiological,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dirge pistol, radial",Small Arms,19,660000,1,-,Sonic,10d4,So,60,Sicken,-,20,1,Battery charge,-,L,Antibiological,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"dirge pistol, resonant",Small Arms,6,4950,1,-,Sonic,1d8,So,40,Sicken,-,20,1,Battery charge,-,L,Antibiological,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegration lash, decimator",Advanced Melee,8,9800,1,-,Disintegrator,1d10,A,-,Corrode,1d6,20,1,Battery charge,-,L,"Living, powered, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegration lash, eradicator",Advanced Melee,20,850000,1,-,Disintegrator,4d20,A,-,Corrode,4d6,20,1,Battery charge,-,L,"Living, powered, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegration lash, executioner",Advanced Melee,16,113000,1,-,Disintegrator,2d20,A,-,Corrode,2d6,20,1,Battery charge,-,L,"Living, powered, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegration lash, liquidator",Advanced Melee,3,1450,1,-,Disintegrator,1d6,A,-,Corrode,1d6,20,1,Battery charge,-,L,"Living, powered, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegrator cannon, decimator",Heavy,11,29500,2,-,Disintegrator,3d10,A,40,Corrode,2d6,40,4,Battery charge,-,3,"Line, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegrator cannon, eradicator",Heavy,20,765000,2,-,Disintegrator,5d20,A,40,Corrode,4d6,80,8,Battery charge,-,3,"Line, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegrator cannon, executioner",Heavy,16,220000,2,-,Disintegrator,5d10,A,40,Corrode,3d6,80,8,Battery charge,-,3,"Line, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegrator cannon, liquidator",Heavy,6,4800,2,-,Disintegrator,1d20,A,40,Corrode,1d6,40,4,Battery charge,-,3,"Line, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegrator pistol, decimator",Small Arms,11,28000,1,-,Disintegrator,1d20,A,20,-,-,20,2,Battery charge,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegrator pistol, eradicator",Small Arms,20,745000,1,-,Disintegrator,3d20,A,30,Corrode,2d6,40,4,Battery charge,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegrator pistol, executioner",Small Arms,16,200000,1,-,Disintegrator,2d20,A,25,Corrode,1d6,40,4,Battery charge,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"disintegrator pistol, liquidator",Small Arms,6,4500,1,-,Disintegrator,1d10,A,15,-,-,20,2,Battery charge,-,L,-,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
